domain,block_type,reject_media,reject_reports,private_comment,public_comment,obfuscate
"smuglo.li",suspend,FALSE,FALSE,"Tier0_2022-12-01","FediFence.Social",FALSE
"snabelen.no",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"sneed.social",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"sneed.vip",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"soapbox.midwaytrades.com",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"socialgoblins.club",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"socialpa.ws",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"soykaf.com",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"sperg.city",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"spook.social",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"starnix.network",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"stereophonic.space",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"stracknet.com",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"strelizia.net",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"sully.site",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"suya.place",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"teci.world",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"thejar.club",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"thepostearthdestination.com",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"thisis.mylegendary.quest",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"tkammer.de",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"tkw.fm",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"tomo.airen-no-jikken.icu",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"tonesplace.com",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"tristram.uber.space",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"troll.cafe",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"tuusin.misono-ya.info",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"udongein.xyz",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"ungoverned.social",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"urchan.org",suspend,FALSE,FALSE,"Tier0_2022-12-01","FediFence.Social",FALSE
"urspringer.de",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"valkyrie.world",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"varishangout.net",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
